pedestrianId simTime groupId-PID5
1 0.4 0
2 0.4 0
3 0.4 0
4 0.4 0
5 0.4 0
6 0.4 1
7 0.4 1
8 0.4 1
9 0.4 1
10 0.4 1
11 0.4 1
12 0.4 1
13 0.4 1
14 0.4 1
15 0.4 1
16 0.4 1
17 0.4 1
18 0.4 1
19 0.4 1
20 0.4 1
21 0.4 1
22 0.4 1
23 0.4 1
24 0.4 1
1 0.9 0
4 0.9 0
8 0.9 1
10 0.9 1
13 0.9 1
15 0.9 1
19 0.9 1
20 0.9 1
2 1.0 0
3 1.0 0
6 1.0 1
7 1.0 1
9 1.0 1
12 1.0 1
14 1.0 1
16 1.0 1
17 1.0 1
18 1.0 1
21 1.0 1
22 1.0 1
23 1.0 1
24 1.0 1
5 1.1 0
11 1.1 1
1 1.4 0
8 1.4 1
19 1.4 1
2 1.5 0
4 1.5 0
10 1.5 1
12 1.5 1
13 1.5 1
15 1.5 1
17 1.5 1
20 1.5 1
3 1.6 0
9 1.6 1
16 1.6 1
18 1.6 1
21 1.6 1
22 1.6 1
24 1.6 1
5 1.7 0
6 1.7 1
7 1.7 1
14 1.7 1
23 1.7 1
11 1.8 1
1 1.9 0
8 1.9 1
19 1.9 1
4 2.0 0
10 2.0 1
13 2.0 1
15 2.0 1
20 2.0 1
2 2.1 0
12 2.1 1
17 2.1 1
18 2.1 1
22 2.1 1
24 2.1 1
3 2.2 0
9 2.2 1
16 2.2 1
6 2.3 1
7 2.3 1
14 2.3 1
21 2.3 1
23 2.3 1
1 2.4 0
5 2.4 0
8 2.4 1
11 2.4 1
19 2.4 1
10 2.5 1
2 2.6 0
4 2.6 0
13 2.6 1
15 2.6 1
17 2.6 1
20 2.6 1
12 2.7 1
16 2.7 1
18 2.7 1
22 2.7 1
24 2.7 1
9 2.8 1
1 2.9 0
3 2.9 0
6 2.9 1
8 2.9 1
14 2.9 1
19 2.9 1
21 2.9 1
7 3.0 1
23 3.0 1
4 3.1 0
5 3.1 0
10 3.1 1
11 3.1 1
13 3.1 1
15 3.1 1
20 3.1 1
2 3.2 0
12 3.2 1
17 3.2 1
16 3.3 1
18 3.3 1
22 3.3 1
24 3.3 1
1 3.4 0
8 3.4 1
9 3.4 1
3 3.5 0
6 3.5 1
14 3.5 1
19 3.5 1
21 3.5 1
4 3.6 0
7 3.6 1
10 3.6 1
15 3.6 1
20 3.6 1
23 3.6 1
2 3.7 0
5 3.7 0
13 3.7 1
17 3.7 1
11 3.8 1
12 3.8 1
1 3.9 0
8 3.9 1
16 3.9 1
18 3.9 1
22 3.9 1
24 3.9 1
9 4.0 1
19 4.0 1
3 4.1 0
21 4.1 1
4 4.2 0
6 4.2 1
10 4.2 1
13 4.2 1
14 4.2 1
15 4.2 1
20 4.2 1
23 4.2 1
2 4.3 0
7 4.3 1
17 4.3 1
1 4.4 0
5 4.4 0
8 4.4 1
12 4.4 1
18 4.4 1
22 4.4 1
11 4.5 1
16 4.5 1
19 4.5 1
24 4.5 1
9 4.6 1
3 4.7 0
4 4.7 0
10 4.7 1
13 4.7 1
15 4.7 1
20 4.7 1
21 4.7 1
2 4.8 0
6 4.8 1
14 4.8 1
17 4.8 1
7 4.9 1
8 4.9 1
12 4.9 1
23 4.9 1
1 5.0 0
18 5.0 1
19 5.0 1
22 5.0 1
24 5.0 1
5 5.1 0
16 5.1 1
9 5.2 1
10 5.2 1
11 5.2 1
20 5.2 1
3 5.3 0
4 5.3 0
8 5.3 1
13 5.3 1
15 5.3 1
21 5.3 1
2 5.4 0
6 5.4 1
14 5.4 1
17 5.4 1
1 5.5 0
12 5.5 1
19 5.5 1
23 5.5 1
7 5.6 1
18 5.6 1
22 5.6 1
24 5.6 1
5 5.7 0
16 5.7 1
4 5.8 0
8 5.8 1
9 5.8 1
10 5.8 1
11 5.8 1
13 5.8 1
15 5.8 1
20 5.8 1
2 5.9 0
3 5.9 0
17 5.9 1
1 6.0 0
6 6.0 1
14 6.0 1
19 6.0 1
21 6.0 1
12 6.1 1
7 6.2 1
18 6.2 1
22 6.2 1
23 6.2 1
24 6.2 1
4 6.3 0
8 6.3 1
10 6.3 1
15 6.3 1
16 6.3 1
20 6.3 1
5 6.4 0
9 6.4 1
13 6.4 1
1 6.5 0
2 6.5 0
3 6.5 0
11 6.5 1
17 6.5 1
19 6.5 1
12 6.6 1
21 6.6 1
6 6.7 1
14 6.7 1
18 6.7 1
8 6.8 1
10 6.8 1
22 6.8 1
23 6.8 1
24 6.8 1
4 6.9 0
7 6.9 1
13 6.9 1
15 6.9 1
16 6.9 1
20 6.9 1
1 7.0 0
9 7.0 1
17 7.0 1
19 7.0 1
2 7.1 0
5 7.1 0
3 7.2 0
11 7.2 1
12 7.2 1
21 7.2 1
6 7.3 1
8 7.3 1
14 7.3 1
18 7.3 1
22 7.3 1
4 7.4 0
10 7.4 1
15 7.4 1
16 7.4 1
20 7.4 1
23 7.4 1
24 7.4 1
1 7.5 0
7 7.5 1
13 7.5 1
19 7.5 1
2 7.6 0
9 7.6 1
17 7.6 1
5 7.7 0
3 7.8 0
8 7.8 1
12 7.8 1
21 7.8 1
4 7.9 0
6 7.9 1
10 7.9 1
11 7.9 1
14 7.9 1
18 7.9 1
20 7.9 1
22 7.9 1
24 7.9 1
1 8.0 0
13 8.0 1
15 8.0 1
16 8.0 1
19 8.0 1
17 8.1 1
23 8.1 1
2 8.2 0
7 8.2 1
9 8.2 1
8 8.3 1
12 8.3 1
3 8.4 0
5 8.4 0
21 8.4 1
1 8.5 0
4 8.5 0
6 8.5 1
10 8.5 1
11 8.5 1
13 8.5 1
14 8.5 1
15 8.5 1
18 8.5 1
19 8.5 1
20 8.5 1
22 8.5 1
24 8.5 1
16 8.6 1
2 8.7 0
17 8.7 1
23 8.7 1
7 8.8 1
8 8.8 1
9 8.8 1
12 8.9 1
1 9.0 0
3 9.0 0
4 9.0 0
5 9.0 0
10 9.0 1
15 9.0 1
20 9.0 1
21 9.0 1
13 9.1 1
18 9.1 1
19 9.1 1
22 9.1 1
24 9.1 1
6 9.2 1
11 9.2 1
14 9.2 1
16 9.2 1
17 9.2 1
2 9.3 0
8 9.3 1
9 9.4 1
23 9.4 1
1 9.5 0
7 9.5 1
10 9.5 1
12 9.5 1
20 9.5 1
3 9.6 0
4 9.6 0
13 9.6 1
15 9.6 1
18 9.6 1
19 9.6 1
22 9.6 1
5 9.7 0
21 9.7 1
24 9.7 1
2 9.8 0
6 9.8 1
8 9.8 1
14 9.8 1
16 9.8 1
17 9.8 1
11 9.9 1
1 10.0 0
9 10.0 1
12 10.0 1
23 10.0 1
4 10.1 0
7 10.1 1
10 10.1 1
15 10.1 1
19 10.1 1
20 10.1 1
3 10.2 0
13 10.2 1
18 10.2 1
22 10.2 1
8 10.3 1
17 10.3 1
21 10.3 1
24 10.3 1
2 10.4 0
5 10.4 0
6 10.4 1
14 10.4 1
16 10.4 1
1 10.5 0
4 10.6 0
9 10.6 1
10 10.6 1
11 10.6 1
12 10.6 1
19 10.6 1
20 10.6 1
23 10.6 1
13 10.7 1
15 10.7 1
3 10.8 0
7 10.8 1
8 10.8 1
18 10.8 1
22 10.8 1
24 10.8 1
2 10.9 0
17 10.9 1
21 10.9 1
1 11.0 0
5 11.0 0
6 11.0 1
14 11.0 1
16 11.0 1
10 11.1 1
19 11.1 1
4 11.2 0
9 11.2 1
12 11.2 1
15 11.2 1
20 11.2 1
8 11.3 1
11 11.3 1
13 11.3 1
23 11.3 1
3 11.4 0
7 11.4 1
17 11.4 1
18 11.4 1
22 11.4 1
24 11.4 1
1 11.5 0
2 11.5 0
16 11.5 1
21 11.5 1
19 11.6 1
4 11.7 0
5 11.7 0
6 11.7 1
10 11.7 1
12 11.7 1
14 11.7 1
15 11.7 1
20 11.7 1
8 11.8 1
9 11.8 1
13 11.8 1
11 11.9 1
18 11.9 1
23 11.9 1
1 12.0 0
2 12.0 0
17 12.0 1
22 12.0 1
24 12.0 1
3 12.1 0
7 12.1 1
16 12.1 1
19 12.1 1
21 12.1 1
10 12.2 1
20 12.2 1
4 12.3 0
6 12.3 1
8 12.3 1
12 12.3 1
13 12.3 1
14 12.3 1
15 12.3 1
5 12.4 0
9 12.4 1
1 12.5 0
17 12.5 1
18 12.5 1
22 12.5 1
2 12.6 0
11 12.6 1
19 12.6 1
23 12.6 1
24 12.6 1
3 12.7 0
7 12.7 1
16 12.7 1
21 12.7 1
4 12.8 0
8 12.8 1
10 12.8 1
15 12.8 1
20 12.8 1
6 12.9 1
12 12.9 1
13 12.9 1
14 12.9 1
5 13.0 0
9 13.0 1
1 13.1 0
2 13.1 0
17 13.1 1
18 13.1 1
19 13.1 1
22 13.1 1
23 13.2 1
24 13.2 1
3 13.3 0
4 13.3 0
8 13.3 1
10 13.3 1
11 13.3 1
16 13.3 1
20 13.3 1
7 13.4 1
12 13.4 1
13 13.4 1
15 13.4 1
21 13.4 1
14 13.5 1
1 13.6 0
6 13.6 1
9 13.6 1
17 13.6 1
19 13.6 1
2 13.7 0
5 13.7 0
18 13.7 1
22 13.7 1
24 13.7 1
8 13.8 1
10 13.8 1
23 13.8 1
3 13.9 0
4 13.9 0
15 13.9 1
16 13.9 1
20 13.9 1
7 14.0 1
11 14.0 1
12 14.0 1
13 14.0 1
21 14.0 1
1 14.1 0
19 14.1 1
6 14.2 1
8 14.2 1
9 14.2 1
14 14.2 1
17 14.2 1
18 14.2 1
2 14.3 0
22 14.3 1
24 14.3 1
4 14.4 0
5 14.4 0
10 14.4 1
15 14.4 1
20 14.4 1
3 14.5 0
13 14.5 1
16 14.5 1
23 14.5 1
1 14.6 0
12 14.6 1
19 14.6 1
21 14.6 1
7 14.7 1
8 14.7 1
9 14.7 1
11 14.7 1
17 14.7 1
2 14.8 0
6 14.8 1
14 14.8 1
18 14.8 1
22 14.8 1
10 14.9 1
20 14.9 1
24 14.9 1
4 15.0 0
5 15.0 0
15 15.0 1
1 15.1 0
3 15.1 0
12 15.1 1
13 15.1 1
16 15.1 1
23 15.1 1
8 15.2 1
19 15.2 1
21 15.2 0
7 15.3 1
9 15.3 1
11 15.3 1
17 15.3 1
2 15.4 0
6 15.4 1
10 15.4 1
14 15.4 1
18 15.4 1
22 15.4 1
4 15.5 0
15 15.5 1
20 15.5 1
24 15.5 1
1 15.6 0
13 15.6 1
3 15.7 0
5 15.7 0
8 15.7 1
12 15.7 1
16 15.7 1
19 15.7 1
17 15.8 1
21 15.8 0
23 15.8 1
2 15.9 0
9 15.9 1
4 16.0 0
7 16.0 1
10 16.0 1
11 16.0 1
14 16.0 1
18 16.0 1
20 16.0 1
22 16.0 1
1 16.1 0
6 16.1 1
13 16.1 1
15 16.1 1
24 16.1 1
8 16.2 1
16 16.2 1
19 16.2 1
12 16.3 1
3 16.4 0
5 16.4 0
17 16.4 1
21 16.4 0
23 16.4 1
2 16.5 0
9 16.5 1
10 16.5 1
20 16.5 1
1 16.6 0
4 16.6 0
7 16.6 1
15 16.6 1
18 16.6 1
22 16.6 1
6 16.7 1
8 16.7 1
11 16.7 1
13 16.7 1
14 16.7 1
19 16.7 1
24 16.7 1
12 16.8 1
16 16.8 1
17 16.9 1
2 17.0 0
3 17.0 0
5 17.0 0
10 17.0 1
1 17.1 0
4 17.1 0
9 17.1 1
15 17.1 1
18 17.1 1
20 17.1 1
21 17.1 0
23 17.1 1
8 17.2 1
13 17.2 1
19 17.2 1
22 17.2 1
24 17.2 1
